Timestep,function
521000,1.21161e-07
522000,2.33144e-07
523000,8.98232e-07
524000,3.40908e-07
525000,3.39826e-07
526000,2.2879e-07
527000,2.35052e-07
528000,2.28356e-07
529000,2.51079e-08
530000,2.2856e-07
531000,3.445e-07
532000,3.34474e-07
533000,4.44068e-07
534000,4.4201e-07
535000,5.5013e-07
536000,4.38927e-07
537000,8.28021e-09
538000,2.24029e-07
539000,5.46475e-07
540000,1.20218e-07
541000,6.55923e-07
542000,2.23928e-07
543000,5.40657e-07
544000,4.36915e-07
545000,8.60667e-07
546000,2.20101e-07
547000,3.26523e-07
548000,7.45291e-07
549000,6.42776e-07
550000,5.37605e-07
551000,2.19587e-07
552000,3.22035e-07
553000,1.17422e-07
554000,3.24304e-07
555000,4.30223e-07
556000,1.12716e-07
557000,1.1224e-07
558000,2.16006e-07
559000,6.2901e-07
560000,4.29894e-07
561000,4.22813e-07
562000,2.16492e-07
563000,9.32219e-09
564000,1.1234e-07
565000,5.21961e-07
566000,3.16565e-07
567000,4.19146e-07
568000,5.18917e-07
569000,3.22814e-07
570000,2.115e-07
571000,4.15017e-07
572000,3.14259e-07
573000,2.11835e-07
574000,3.14496e-07
575000,6.13421e-07
576000,2.17608e-07
577000,5.12194e-07
578000,7.18528e-07
579000,4.10425e-07
580000,1.08021e-07
581000,3.08795e-07
582000,2.074e-07
583000,4.36662e-07
584000,4.06205e-07
585000,5.20929e-07
586000,4.03664e-07
587000,3.07401e-07
588000,3.04033e-07
589000,4.97261e-07
590000,2.17471e-07
591000,6.92673e-07
592000,2.14486e-07
593000,1.06397e-07
594000,2.02231e-07
595000,4.0126e-07
596000,5.93923e-07
597000,5.05265e-07
598000,3.96375e-07
599000,2.07987e-07
600000,2.97999e-07
601000,5.83889e-07
602000,3.01001e-07
603000,3.92905e-07
604000,4.96203e-07
605000,2.94026e-07
606000,3.9399e-07
607000,5.82245e-07
608000,1.03102e-07
609000,3.91605e-07
610000,4.82165e-07
611000,3.88551e-07
612000,3.85225e-07
613000,2.89822e-07
614000,3.85971e-07
615000,1.96596e-07
616000,2.91564e-07
617000,2.89016e-07
618000,1.97131e-07
619000,1.95574e-07
620000,4.75963e-07
621000,3.83007e-07
622000,2.86619e-07
623000,5.66965e-07
624000,8.53696e-09
625000,2.8689e-07
626000,2.85686e-07
627000,5.62423e-07
628000,2.84845e-07
629000,3.76577e-07
630000,4.68905e-07
631000,7.43715e-07
632000,3.72252e-07
633000,4.69632e-07
634000,1.89528e-07
635000,2.8278e-07
636000,2.80051e-07
637000,2.79933e-07
638000,2.81366e-07
639000,3.69872e-07
640000,4.60765e-07
641000,1.87694e-07
642000,5.51278e-07
643000,6.37772e-07
644000,4.56201e-07
645000,3.6657e-07
646000,1.86888e-07
647000,6.33615e-07
648000,4.54224e-07
649000,9.7666e-08
650000,1.85569e-07
651000,4.54568e-07
652000,8.08199e-07
653000,4.50235e-07
654000,2.72572e-07
655000,9.5933e-08
656000,4.4909e-07
657000,4.50573e-07
658000,2.72102e-07
659000,7.49922e-09
660000,1.84621e-07
661000,2.71266e-07
662000,4.43905e-07
663000,3.59871e-07
664000,9.41797e-08
665000,9.47206e-08
666000,3.56137e-07
667000,4.44398e-07
668000,2.67234e-07
669000,2.67065e-07
670000,1.83721e-07
671000,1.80771e-07
672000,6.15424e-07
673000,5.24225e-07
674000,9.5001e-08
675000,2.67468e-07
676000,5.21667e-07
677000,4.36728e-07
678000,1.77458e-07
679000,1.87233e-07
680000,9.39023e-08
681000,3.59927e-07
682000,3.46962e-07
683000,1.76131e-07
684000,2.67013e-07
685000,5.1524e-07
686000,3.60327e-07
687000,9.16905e-08
688000,5.30279e-07
689000,5.97323e-07
