Timestep,function
473000,0.00821811
474000,0.00356691
475000,0.00244749
476000,0.00240674
477000,0.00127645
478000,9.30107e-05
479000,0.00357288
480000,0.00241556
481000,0.00590117
482000,0.00128151
483000,0.00472762
484000,0.00820289
485000,0.00586394
486000,0.0012519
487000,0.00239598
488000,0.00357681
489000,0.00471475
490000,0.00128803
491000,0.00123913
492000,0.00587817
493000,0.00243092
494000,0.00938672
495000,0.00243061
496000,0.00473761
497000,0.00358359
498000,0.00242247
499000,0.0024346
500000,0.00242481
501000,0.00358443
502000,0.0047281
503000,0.00590524
504000,0.00589405
505000,0.00821104
506000,0.00125349
507000,0.00356947
508000,0.00357843
509000,0.00358317
510000,0.00354784
511000,0.00591746
512000,0.00242364
513000,0.00243125
514000,0.00356142
515000,0.00240359
516000,0.000114618
517000,0.00356988
518000,0.0024203
519000,0.00241583
520000,0.00591368
521000,0.0012625
522000,0.00243402
523000,0.00939551
524000,0.00357271
525000,0.00356818
526000,0.00240687
527000,0.00247745
528000,0.00241144
529000,0.000265642
530000,0.00242274
531000,0.00365859
532000,0.00355881
533000,0.00473377
534000,0.00472067
535000,0.0058864
536000,0.0047053
537000,8.89294e-05
538000,0.00241055
539000,0.005891
540000,0.00129835
541000,0.00709708
542000,0.00242738
543000,0.00587153
544000,0.00475364
545000,0.00938127
546000,0.0024035
547000,0.00357217
548000,0.00816839
549000,0.00705768
550000,0.00591366
551000,0.00241985
552000,0.00355527
553000,0.00129869
554000,0.00359329
555000,0.00477548
556000,0.0012534
557000,0.00125035
558000,0.00241063
559000,0.00703233
560000,0.00481481
561000,0.00474396
562000,0.00243337
563000,0.000104968
564000,0.00126719
565000,0.00589816
566000,0.00358352
567000,0.00475312
568000,0.00589489
569000,0.00367363
570000,0.00241109
571000,0.0047395
572000,0.00359512
573000,0.00242763
574000,0.00361042
575000,0.00705434
576000,0.00250685
577000,0.00591071
578000,0.00830619
579000,0.00475273
580000,0.00125304
581000,0.00358819
582000,0.00241414
583000,0.00509148
584000,0.00474447
585000,0.00609487
586000,0.00473094
587000,0.00360889
588000,0.00357543
589000,0.00585774
590000,0.00256616
591000,0.0081874
592000,0.00253952
593000,0.00126187
594000,0.0024025
595000,0.00477499
596000,0.00707956
597000,0.00603287
598000,0.00474064
599000,0.00249168
600000,0.00357599
601000,0.00701835
602000,0.00362406
603000,0.00473844
604000,0.00599414
605000,0.00355772
606000,0.00477516
607000,0.00706845
608000,0.00125372
609000,0.00476974
610000,0.00588242
611000,0.0047481
612000,0.00471516
613000,0.00355321
614000,0.00473973
615000,0.00241813
616000,0.00359207
617000,0.00356646
618000,0.00243654
619000,0.00242121
620000,0.00590194
621000,0.00475694
622000,0.00356554
623000,0.00706439
624000,0.000106541
625000,0.00358612
626000,0.00357679
627000,0.00705279
628000,0.00357765
629000,0.00473734
630000,0.00590821
631000,0.00938569
632000,0.00470526
633000,0.00594554
634000,0.00240322
635000,0.00359131
636000,0.00356225
637000,0.00356634
638000,0.00359023
639000,0.00472697
640000,0.00589779
641000,0.00240623
642000,0.00707841
643000,0.00820174
644000,0.00587587
645000,0.00472875
646000,0.00241459
647000,0.00819898
648000,0.00588675
649000,0.0012677
650000,0.0024124
651000,0.00591847
652000,0.0105389
653000,0.00588007
654000,0.00356524
655000,0.00125672
656000,0.00589206
657000,0.00592053
658000,0.00358086
659000,9.88397e-05
660000,0.00243699
661000,0.00358614
662000,0.0058773
663000,0.00477189
664000,0.00125071
665000,0.00125978
666000,0.00474374
667000,0.00592827
668000,0.00357024
669000,0.00357333
670000,0.00246186
671000,0.00242594
672000,0.00827129
673000,0.00705607
674000,0.00128061
675000,0.00361081
676000,0.00705294
677000,0.0059133
678000,0.00240633
679000,0.00254262
680000,0.00127707
681000,0.00490221
682000,0.00473256
683000,0.00240595
684000,0.00365274
685000,0.00705879
686000,0.00494368
687000,0.00125983
688000,0.00729664
689000,0.00823112
690000,0.00940028
691000,0.00126577
692000,0.003579
693000,0.00481895
694000,0.00589507
695000,0.00241526
696000,0.00241789
697000,0.00245552
698000,0.0105307
699000,0.00361917
700000,0.00357606
701000,0.00242016
702000,0.0059173
703000,0.00705374
704000,0.00710128
705000,0.00241259
706000,0.00245811
707000,0.00471486
708000,0.00590792
709000,0.00242964
710000,0.00474156
711000,0.00244153
712000,0.00242548
713000,0.00483609
714000,0.00822517
715000,0.00706412
716000,0.00705189
717000,0.00472107
718000,0.00242941
719000,0.00591207
720000,0.00123068
721000,0.00124885
722000,0.00244214
723000,0.00590425
724000,0.00011954
725000,0.00587472
726000,0.00590886
727000,0.001262
728000,0.00592769
729000,0.00241107
730000,0.00592153
731000,0.00473356
732000,0.00474347
733000,0.00359931
734000,0.00240268
735000,0.00824033
736000,0.00820243
737000,0.0081675
738000,0.00358288
739000,0.00124999
740000,0.00712889
741000,0.00821257
742000,0.00361557
743000,0.00242765
744000,0.00588805
